,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
24694,9722,54.9126,38.0697,2,52,202320012230302201,0.0079162498357938,0.1060603346350901
24695,9722,54.9162,38.0629,3,31,202320012230331321,0.0196016612604965,0.0144297947045967
24708,9730,54.8801,38.0636,0,678,202320012230012020,0.6959492381896122,0.8105412962647451
24709,9730,54.8823,38.0617,1,182,202320012230011233,0.2478799060534225,0.1303180027861574
24728,9736,54.8981,38.0782,0,296,202320012230311000,1.0,1.0
24733,9739,54.9014,38.0741,0,27,202320012230310220,0.0,0.0462949101796407
24734,9739,54.9101,38.0764,1,738,202320012230303322,0.9411547188072076,0.8179715568862276
24735,9739,54.9086,38.0789,2,45,202320012230201111,0.0185620568913804,0.02437874251497
24736,9739,54.8911,38.0749,3,26,202320012230311202,0.0,0.0268263473053892
24737,9740,54.8461,38.1723,0,307,202320012300323001,0.9999035529264798,1.0
24746,9745,54.8859,38.0846,0,805,202320012230130112,0.9275904720798802,0.9512025715162578
24747,9745,54.9395,38.047,1,87,202320012220112302,0.071111793451655,0.0
24755,9749,54.8931,38.0809,0,1209,202320012230200022,0.5138291689476134,0.0
24756,9749,54.8832,38.0556,1,524,202320012223300012,0.4222376027028917,0.640230290212666
24757,9749,54.8937,38.0663,2,212,202320012230321030,0.0412668478562316,0.2912869060207798
24758,9749,54.8875,38.0665,3,32,202320012230012221,0.0076832735665003,0.0
24761,9751,54.8798,38.0691,0,499,202320012230021020,1.0,1.0
24762,9753,54.8441,38.183,0,261,202320012300333222,0.994829595106321,0.8933365082150063
24763,9753,54.8426,38.1829,1,18,202320021033003222,0.0051704048936789,0.1066634917849936
24764,9754,54.8982,38.0791,0,528,202320012230200333,0.4632038666469563,0.4380189554535098
24765,9754,54.8856,38.0764,1,487,202320012230022210,0.4997975409256557,0.5189730701022937
24766,9754,54.8906,38.071,2,38,202320012230312130,0.0009512362858079,0.0427965753344216
24767,9754,54.8862,38.0815,3,15,202320012230133232,9.640908302107502e-06,2.348878997498444e-05
24774,9759,54.8918,38.0625,0,335,202320012230321230,0.9079741437116112,0.7688785185573587
24775,9759,54.8709,38.1557,1,135,202320012300020033,0.090398662482454,0.2150066853682196
24776,9760,54.851,38.194,0,409,202320012301001323,0.9988922931014682,1.0
24781,9764,54.8905,38.0651,0,244,202320012230321130,0.3515104059856945,0.9244947010548076
24782,9764,54.9087,38.0788,1,48,202320012230201111,0.043233468185462,0.0173476631091296
24783,9764,54.8995,38.0712,2,191,202320012230313103,0.5136001789742538,0.0
24784,9764,54.8939,38.0683,3,19,202320012230312300,0.0,0.00780831641739
24786,9766,54.8997,38.0856,0,148,202320012230202010,0.3924294280168475,0.4958789271104125
24787,9766,54.8969,38.079,1,206,202320012230200330,0.6075705719831525,0.5041210728895875
24789,9769,54.8805,38.0734,0,335,202320012230022032,0.3841525537763595,0.708330912682275
24790,9769,54.8804,38.0699,1,21,202320012230021021,0.0062731076552417,0.0205077557659908
24791,9769,54.8774,38.1349,2,111,202320012233321003,0.1658753195824763,0.0175884505896706
24792,9769,54.8775,38.1399,3,229,202320012233322003,0.3229016486931559,0.236173241154941
24796,9771,54.8947,38.0644,0,375,202320012230321312,0.8703453224782269,0.8769126589464901
24797,9771,54.8906,38.0737,1,92,202320012230311230,0.129654677521773,0.1230873410535099
24798,9772,54.8785,38.1564,0,341,202320012300023220,0.8963763123987396,0.9548927495124978
24799,9772,54.8792,38.1544,1,34,202320012300030331,0.1036236876012604,0.044974295337706
24800,9773,54.8937,38.0725,0,21,202320012230312033,0.201037134473338,
24801,9773,54.8952,38.0722,1,96,202320012230312031,0.5926591116057878,
24802,9773,54.8932,38.0707,2,17,202320012230312022,0.1136345239299807,
