,id,lat,lon,cluster,cluster_size,inq,wd_rate,wd_all,work_place,geometry
642,1547.0,54.8763,38.1228,0.0,1331.0,38857.50223207474,0.5714285714285714,0.27586206896551724,True,POINT (38.1228 54.8763)
643,1547.0,54.9051,38.0914,1.0,3017.0,50126.55357122421,0.5714285714285714,0.27586206896551724,True,POINT (38.0914 54.9051)
644,1547.0,54.8907,38.0656,2.0,2462.0,22458.97968751192,0.9285714285714286,0.4482758620689655,True,POINT (38.0656 54.8907)
649,1555.0,54.8934,38.0631,0.0,5166.0,22055.830775737762,1.0,1.0,True,POINT (38.0631 54.8934)
650,1557.0,54.8848,38.0673,0.0,6223.0,32757.342460989952,1.0,1.0,False,POINT (38.0673 54.8848)
654,1568.0,54.8891,38.0726,0.0,904.0,19238.0,0.5333333333333333,0.34782608695652173,True,POINT (38.0726 54.8891)
655,1568.0,54.8936,38.0827,1.0,520.0,49535.75,1.0,0.6521739130434783,True,POINT (38.0827 54.8936)
668,1594.0,54.8801,38.0693,0.0,5424.0,32868.5,1.0,1.0,False,POINT (38.0693 54.8801)
669,1599.0,54.887,38.0584,0.0,2400.0,33851.05000001192,1.0,1.0,False,POINT (38.0584 54.887)
670,1604.0,54.8952,38.078,0.0,2192.0,38428.49137932062,1.0,1.0,False,POINT (38.078 54.8952)
671,1605.0,54.8881,38.0889,0.0,4381.0,30508.83074170351,0.8666666666666667,0.7647058823529411,False,POINT (38.0889 54.8881)
672,1605.0,54.8767,38.1348,1.0,1723.0,26743.045030653477,0.26666666666666666,0.23529411764705882,True,POINT (38.1348 54.8767)
673,1607.0,54.8805,38.0541,0.0,3620.0,32234.348684191704,1.0,1.0,False,POINT (38.0541 54.8805)
674,1614.0,54.8941,38.0672,0.0,1374.0,29553.850000023842,1.0,1.0,False,POINT (38.0672 54.8941)
675,1616.0,54.8855,38.0771,0.0,3462.0,32872.59999990463,1.0,1.0,False,POINT (38.0771 54.8855)
677,1619.0,54.9248,38.037,0.0,3324.0,34588.371240496635,1.0,1.0,False,POINT (38.037 54.9248)
678,1620.0,54.8856,38.0762,0.0,9155.0,49476.50297105312,1.0,1.0,False,POINT (38.0762 54.8856)
679,1622.0,54.8952,38.0724,0.0,4377.0,47638.59615391493,0.8181818181818182,0.6923076923076923,True,POINT (38.0724 54.8952)
680,1622.0,54.8769,38.1332,1.0,1165.0,35562.36446905136,0.36363636363636365,0.3076923076923077,True,POINT (38.1332 54.8769)
682,1635.0,54.889,38.0711,0.0,1079.0,19341.66666674614,0.9375,0.4838709677419355,True,POINT (38.0711 54.889)
683,1635.0,54.8882,38.0872,1.0,1022.0,43566.83333325386,1.0,0.5161290322580645,True,POINT (38.0872 54.8882)
685,1646.0,54.8845,38.0779,1.0,1597.0,23759.5,1.0,0.7857142857142857,True,POINT (38.0779 54.8845)
689,1651.0,54.8848,38.0913,0.0,6269.0,25841.73641949892,1.0,1.0,False,POINT (38.0913 54.8848)
690,1654.0,54.8908,38.0923,0.0,3347.0,35858.82142829895,1.0,1.0,False,POINT (38.0923 54.8908)
691,1655.0,54.8818,38.0544,0.0,1668.0,35776.60000002384,0.8,0.6666666666666666,True,POINT (38.0544 54.8818)
692,1655.0,54.8846,38.0611,1.0,423.0,33321.45176243782,0.4,0.3333333333333333,True,POINT (38.0611 54.8846)
694,1671.0,54.8912,38.0798,0.0,3480.0,16029.411764621735,0.9473684210526315,0.5142857142857142,True,POINT (38.0798 54.8912)
695,1671.0,54.8937,38.0823,1.0,2514.0,34246.785714387894,0.8947368421052632,0.4857142857142857,True,POINT (38.0823 54.8937)
697,1687.0,54.8935,38.0821,0.0,3524.0,24460.200000047684,1.0,1.0,True,POINT (38.0821 54.8935)
699,1693.0,54.8853,38.0894,0.0,4502.0,28347.38286715746,1.0,1.0,False,POINT (38.0894 54.8853)
701,1699.0,54.8998,38.0851,0.0,10699.0,41753.16370391846,1.0,1.0,False,POINT (38.0851 54.8998)
702,1700.0,54.9389,38.0469,0.0,12035.0,30638.107266902924,1.0,1.0,False,POINT (38.0469 54.9389)
703,1702.0,54.8938,38.0749,0.0,2670.0,35608.30709326267,1.0,1.0,False,POINT (38.0749 54.8938)
709,1718.0,54.8917,38.0873,0.0,8053.0,18920.171131134033,1.0,1.0,True,POINT (38.0873 54.8917)
715,1737.0,54.8894,38.0653,0.0,3350.0,32229.712121248245,1.0,1.0,False,POINT (38.0653 54.8894)
717,1739.0,54.8949,38.0791,0.0,2677.0,31540.40625,1.0,1.0,False,POINT (38.0791 54.8949)
719,1749.0,54.8819,38.0568,0.0,1670.0,37241.0,1.0,1.0,False,POINT (38.0568 54.8819)
720,1753.0,54.8406,38.1891,0.0,4260.0,39375.39590293169,1.0,1.0,False,POINT (38.1891 54.8406)
