,hash,ttl_ppl,id
134,210123030002101331,0.0,1.0
135,210123030002101332,0.0,0.0
136,210123030002101320,0.0,0.0
137,210123030002100222,0.0,0.0
138,210123030002101021,0.0,0.0
139,210123030002100102,0.0,1.0
140,210123030002030102,0.0,1.0
141,210123030002030101,0.0,1.0
142,210123030002101321,0.0,0.0
143,210123030002030131,0.0,149.0
144,210123030002033022,0.0,128.0
145,210123030002033320,0.0,192.0
146,210123030002033313,0.0,94.0
147,210123030002033323,0.0,151.0
148,210123030002033101,405.0,655.0
149,210123030002033023,0.0,174.0
150,210123030002033030,180.0,470.0
151,210123030002033312,0.0,186.0
152,210123030002033321,0.0,172.0
153,210123030001233302,0.0,216.0
154,210123030001233310,0.0,424.0
155,210123030001233201,0.0,120.0
156,210123030001233313,0.0,88.0
157,210123030001233220,0.0,1.0
158,210123030001233223,0.0,2.0
159,210123030001233202,0.0,56.0
160,210123030001233213,0.0,11.0
161,210123030001233212,0.0,10.0
162,210123030001233221,0.0,6.0
163,210123030001233210,40.0,34.0
164,210123030001233211,20.0,19.0
165,210123030001233203,0.0,151.0
166,210123030002103211,0.0,1.0
167,210123030002103122,0.0,0.0
168,210123030002100121,0.0,0.0
169,210123030002103212,0.0,0.0
170,210123030001233123,0.0,11.0
171,210123030001233122,0.0,43.0
172,210123030001233130,0.0,70.0
173,210123030002103121,0.0,0.0
174,210123030002030221,0.0,113.0
175,210123030002030213,0.0,162.0
176,210123030002030220,20.0,112.0
177,210123030002033111,0.0,31.0
178,210123030002030222,20.0,59.0
179,210123030002033110,0.0,118.0
180,210123030001233333,0.0,21.0
181,210123030001233332,0.0,49.0
182,210123030001300000,0.0,34.0
183,210123030001230112,0.0,13.0
184,210123030001233222,0.0,1.0
185,210123030001230111,0.0,1.0
186,210123030001230121,0.0,31.0
187,210123030002103120,0.0,3.0
188,210123030002103112,0.0,0.0
189,210123030002103113,0.0,9.0
190,210123030002100221,0.0,0.0
191,210123030002103123,0.0,0.0
192,210123030002101302,0.0,0.0
193,210123030002101301,0.0,1.0
194,210123030002101313,0.0,2.0
195,210123030002103111,0.0,0.0
196,210123030002103110,0.0,2.0
197,210123030002103130,0.0,9.0
198,210123030002103131,0.0,2.0
199,210123030002103210,0.0,2.0
200,210123030002103203,0.0,8.0
201,210123030001233200,0.0,344.0
202,210123030002101022,0.0,0.0
203,210123030002101312,0.0,0.0
204,210123030002030030,0.0,3.0
205,210123030002030032,0.0,1.0
206,210123030002101103,0.0,1.0
